,lasso,LogisticRegression,target,target_id,feature,turner
species1,0.0,10.904334170791682,Disease,DiseaseA,False,True
species2,0.0,15.127079916616811,Disease,DiseaseA,False,True
species3,0.0,11.181712445327735,Disease,DiseaseA,False,True
species4,1.1413336599276502,15.412408391710747,Disease,DiseaseA,False,True
species5,59.12018201681561,79.56133669707312,Disease,DiseaseA,False,True
species6,0.0,11.199228648986319,Disease,DiseaseA,False,True
species7,0.0,24.26851056679094,Disease,DiseaseA,False,True
species8,0.0,8.993247548307833,Disease,DiseaseA,False,True
species9,0.0,13.327176103690414,Disease,DiseaseA,False,True
species10,0.0,11.039624304620478,Disease,DiseaseA,False,True
species11,0.0,8.68647471294769,Disease,DiseaseA,False,True
species12,0.0013382715689083393,7.046805626452169,Disease,DiseaseA,False,True
species13,0.0,9.856392693691674,Disease,DiseaseA,False,True
species14,0.0,14.192967832131961,Disease,DiseaseA,False,True
species15,1.4978481722371748,18.45789692365764,Disease,DiseaseA,False,True
species16,0.0,16.419376035752897,Disease,DiseaseA,False,True
species17,62.52956900425636,45.18891850686885,Disease,DiseaseA,False,True
species18,0.0,22.412774957528864,Disease,DiseaseA,False,True
species19,0.0,34.35077746419049,Disease,DiseaseA,False,True
species20,3.2833510619447255,31.37868366565009,Disease,DiseaseA,False,True
species21,18.317120217590663,43.28996810988489,Disease,DiseaseA,False,True
species22,4.535616455837393,12.493573196991445,Disease,DiseaseA,False,True
species23,0.0,19.478830914489166,Disease,DiseaseA,False,True
species24,0.0,13.873655462285594,Disease,DiseaseA,False,True
species25,0.0,5.886694379736959,Disease,DiseaseA,False,True
species26,0.0,12.571018061659183,Disease,DiseaseA,False,True
species27,0.0,21.768192309456975,Disease,DiseaseA,False,True
species28,0.0,21.937249660990258,Disease,DiseaseA,False,True
species29,0.0,7.309046013148648,Disease,DiseaseA,False,True
species30,0.0,8.026599109662722,Disease,DiseaseA,False,True
species31,13.449007002652479,50.442776658071935,Disease,DiseaseA,False,True
species32,0.0,13.763781798188964,Disease,DiseaseA,False,True
species33,28.920536402960444,40.85950622890037,Disease,DiseaseA,False,True
species34,2.9593870657852346,22.281166568490143,Disease,DiseaseA,False,True
species35,0.7215674946438672,14.847033808519118,Disease,DiseaseA,False,True
species36,0.0,10.657492988856626,Disease,DiseaseA,False,True
species37,0.0,8.238169289666322,Disease,DiseaseA,False,True
species38,5.079105208995566,31.17969902068475,Disease,DiseaseA,False,True
species39,0.0,8.975492026296546,Disease,DiseaseA,False,True
species40,0.0,7.697778777440936,Disease,DiseaseA,False,True
species41,1.9878227213955912,28.290975496400147,Disease,DiseaseA,False,True
species42,6.245894762860232,20.576843507619575,Disease,DiseaseA,False,True
species43,24.039693405732677,56.225994679033064,Disease,DiseaseA,False,True
species44,0.0,10.483151179623265,Disease,DiseaseA,False,True
species45,0.0,16.154969079167884,Disease,DiseaseA,False,True
species46,1.0693889401223866,13.165826277350769,Disease,DiseaseA,False,True
species47,18.148385129623673,36.56451102886116,Disease,DiseaseA,False,True
species48,3.73098884571656,22.197566082075262,Disease,DiseaseA,False,True
species49,0.0,10.769560605133503,Disease,DiseaseA,False,True
species50,0.0,8.459237196427708,Disease,DiseaseA,False,True
species51,0.0,31.365463233826866,Disease,DiseaseA,False,True
species52,3.308854687627832,26.821612956939795,Disease,DiseaseA,False,True
species53,4.903222913443235,37.634892705311486,Disease,DiseaseA,False,True
species54,16.116636164021955,41.334044175931695,Disease,DiseaseA,False,True
species55,0.0,17.642171341835226,Disease,DiseaseA,False,True
species56,0.0,6.636990793654408,Disease,DiseaseA,False,True
species57,1.2957196386732117,24.866365538760075,Disease,DiseaseA,False,True
species58,20.068146622143257,36.35443164378872,Disease,DiseaseA,False,True
species59,1.2490824569699712,26.715476507928503,Disease,DiseaseA,False,True
species60,6.292264163027765,23.238591008940396,Disease,DiseaseA,False,True
species61,8.992778111027235,30.84884975204243,Disease,DiseaseA,False,True
species62,38.7304566554262,64.02796070561665,Disease,DiseaseA,False,True
species63,23.49414007859214,44.01980042545138,Disease,DiseaseA,False,True
species64,0.0,12.127502516317218,Disease,DiseaseA,False,True
species65,0.6556246357511977,32.597184842370865,Disease,DiseaseA,False,True
species66,17.58863197713037,52.766900808775915,Disease,DiseaseA,False,True
species67,0.6989950507378075,23.287843165084148,Disease,DiseaseA,False,True
species68,4.3851619413636715,23.056845376427596,Disease,DiseaseA,False,True
species69,3.007394678814745,22.330562871560353,Disease,DiseaseA,False,True
species70,4.9562085569064855,20.871840169301898,Disease,DiseaseA,False,True
species71,11.008001409443114,47.23787478312278,Disease,DiseaseA,False,True
species72,0.0,18.714505920122654,Disease,DiseaseA,False,True
species73,0.0,16.81159706214311,Disease,DiseaseA,False,True
species74,0.0,12.11482165604564,Disease,DiseaseA,False,True
species75,6.274563417009993,43.956283653787565,Disease,DiseaseA,False,True
species76,9.461177094500368,51.58473253860971,Disease,DiseaseA,False,True
species77,0.0,28.411841363369195,Disease,DiseaseA,False,True
species78,0.0,12.215296457012608,Disease,DiseaseA,False,True
species79,0.8507724880887506,22.357254064541088,Disease,DiseaseA,False,True
species80,0.0,17.243022293025966,Disease,DiseaseA,False,True
species81,55.75162812991596,49.51261303311507,Disease,DiseaseA,False,True
species82,0.0,11.103896521771599,Disease,DiseaseA,False,True
species83,0.0,33.07256105009003,Disease,DiseaseA,False,True
species84,0.0,20.512708374010522,Disease,DiseaseA,False,True
species85,2.855159079890872,36.00760463088953,Disease,DiseaseA,False,True
species86,0.0,14.472388082502581,Disease,DiseaseA,False,True
species87,60.7079594497509,63.1009082681025,Disease,DiseaseA,False,True
species88,0.0,14.718542477442947,Disease,DiseaseA,False,True
species89,0.38074982596183143,29.23345957833907,Disease,DiseaseA,False,True
species90,0.0,16.709988018070096,Disease,DiseaseA,False,True
species91,30.610947168158724,58.55205031855856,Disease,DiseaseA,False,True
species92,0.0,14.797164494676954,Disease,DiseaseA,False,True
species93,0.0,17.776598152437174,Disease,DiseaseA,False,True
species94,0.0,11.782855367679032,Disease,DiseaseA,False,True
species95,4.3055003397677805,37.38795937818363,Disease,DiseaseA,False,True
species96,5.3748842759492685,26.770601020586344,Disease,DiseaseA,False,True
species97,0.0,10.932327845334088,Disease,DiseaseA,False,True
species98,0.0,14.043016590931401,Disease,DiseaseA,False,True
species99,0.0,14.399009373405681,Disease,DiseaseA,False,True
species100,3.8657253489972114,15.051050408627242,Disease,DiseaseA,False,True
species101,0.0,22.280353892716608,Disease,DiseaseA,False,True
species102,0.0,16.262310366929466,Disease,DiseaseA,False,True
species103,0.0,14.09409954137063,Disease,DiseaseA,False,True
species104,38.18336276740879,46.710992175787084,Disease,DiseaseA,False,True
species105,0.0,16.475456647778888,Disease,DiseaseA,False,True
species106,0.0,20.57821312332073,Disease,DiseaseA,False,True
species107,0.0,13.100111314442733,Disease,DiseaseA,False,True
species108,9.344126211912316,36.87384133342823,Disease,DiseaseA,False,True
species109,0.0,14.699922854451225,Disease,DiseaseA,False,True
species110,30.076022620318515,63.31695853128042,Disease,DiseaseA,False,True
species111,0.0,11.323401104848756,Disease,DiseaseA,False,True
species112,0.0,37.759137889423954,Disease,DiseaseA,False,True
species113,12.171646286861026,35.27749989188396,Disease,DiseaseA,False,True
species114,14.044084744469975,32.74834321744045,Disease,DiseaseA,False,True
