,Model,Accuracy,Precision,Recall,F1,ROC_AUC,MCC,Specificity,CV,Repeat,target,target_id,feature,turner
0,lasso,0.4,0.4,0.4,0.4,0.44,-0.2,0.4,Fold1,1,Disease,DiseaseA,False,True
1,lasso,0.3,0.3333333333333333,0.4,0.36363636363636365,0.27999999999999997,-0.408248290463863,0.2,Fold2,1,Disease,DiseaseA,False,True
2,lasso,0.4,0.4,0.4,0.4,0.36,-0.2,0.4,Fold3,1,Disease,DiseaseA,False,True
3,lasso,0.5,0.5,0.6,0.5454545454545454,0.64,0.0,0.4,Fold4,1,Disease,DiseaseA,False,True
4,lasso,0.5,0.5,0.4,0.4444444444444444,0.56,0.0,0.6,Fold5,1,Disease,DiseaseA,False,True
5,lasso,0.8,0.8,0.8,0.8,0.92,0.6,0.8,Fold6,1,Disease,DiseaseA,False,True
6,lasso,0.4,0.42857142857142855,0.6,0.5,0.6799999999999999,-0.2182178902359924,0.2,Fold7,1,Disease,DiseaseA,False,True
7,lasso,0.4,0.4,0.4,0.4,0.24000000000000005,-0.2,0.4,Fold8,1,Disease,DiseaseA,False,True
8,lasso,0.7,0.6666666666666666,0.8,0.7272727272727273,0.6800000000000002,0.408248290463863,0.6,Fold9,1,Disease,DiseaseA,False,True
9,lasso,0.6,0.6666666666666666,0.4,0.5,0.6800000000000002,0.2182178902359924,0.8,Fold10,1,Disease,DiseaseA,False,True
10,lasso,0.4,0.42857142857142855,0.6,0.5,0.11999999999999997,-0.2182178902359924,0.2,Fold1,2,Disease,DiseaseA,False,True
11,lasso,0.5,0.5,0.6,0.5454545454545454,0.6799999999999999,0.0,0.4,Fold2,2,Disease,DiseaseA,False,True
12,lasso,0.4,0.3333333333333333,0.2,0.25,0.39999999999999997,-0.2182178902359924,0.6,Fold3,2,Disease,DiseaseA,False,True
13,lasso,0.4,0.0,0.0,0.0,0.56,-0.3333333333333333,0.8,Fold4,2,Disease,DiseaseA,False,True
14,lasso,0.5,0.5,0.4,0.4444444444444444,0.68,0.0,0.6,Fold5,2,Disease,DiseaseA,False,True
15,lasso,0.4,0.4,0.4,0.4,0.6,-0.2,0.4,Fold6,2,Disease,DiseaseA,False,True
16,lasso,0.5,0.5,0.8,0.6153846153846154,0.36,0.0,0.2,Fold7,2,Disease,DiseaseA,False,True
17,lasso,0.8,0.8,0.8,0.8,0.8,0.6,0.8,Fold8,2,Disease,DiseaseA,False,True
