,lasso,LogisticRegression,target,target_id,feature,turner
species1,1.1693444557884989,18.03500788901062,Project,ProjectA,False,True
species2,0.17826808199933544,9.466269661350406,Project,ProjectA,False,True
species3,0.08944953626285494,11.923190447954106,Project,ProjectA,False,True
species4,0.0,7.397303530117567,Project,ProjectA,False,True
species5,2.7803941607408174,37.19915997924298,Project,ProjectA,False,True
species6,0.03969751170370204,9.779356866123774,Project,ProjectA,False,True
species7,0.10003804014140597,11.002429165537079,Project,ProjectA,False,True
species8,1.988841697202578,30.522451359389585,Project,ProjectA,False,True
species9,0.0,7.487014931457392,Project,ProjectA,False,True
species10,1.2427851115410116,22.27248429921862,Project,ProjectA,False,True
species11,0.5512698176543972,16.287659705494303,Project,ProjectA,False,True
species12,0.0,5.824330774413922,Project,ProjectA,False,True
species13,0.062435504896191894,8.229382863656559,Project,ProjectA,False,True
species14,0.5816493666051092,14.6829437684213,Project,ProjectA,False,True
species15,0.00619513680417238,11.171241253411942,Project,ProjectA,False,True
species16,0.0,13.650661226625598,Project,ProjectA,False,True
species17,1.988625255919454,30.646028225057705,Project,ProjectA,False,True
species18,0.1101623666445932,7.954666772421367,Project,ProjectA,False,True
species19,0.0,4.003740734153371,Project,ProjectA,False,True
species20,1.9188215174943575,27.946551788254954,Project,ProjectA,False,True
species21,2.610500216329993,24.432164949554803,Project,ProjectA,False,True
species22,1.8330590374646178,22.230412978632483,Project,ProjectA,False,True
species23,0.08217430200995526,7.99904999768699,Project,ProjectA,False,True
species24,0.0,7.134212022617492,Project,ProjectA,False,True
species25,1.8319489794711257,18.57946361529151,Project,ProjectA,False,True
species26,0.15078735782958697,8.587266137515355,Project,ProjectA,False,True
species27,1.1875632187973921,21.907899914372273,Project,ProjectA,False,True
species28,1.2792867609404008,17.153721906548693,Project,ProjectA,False,True
species29,0.25319920859001116,11.111319329073192,Project,ProjectA,False,True
species30,0.08604184967548231,7.645010616690692,Project,ProjectA,False,True
species31,0.021429661693557214,15.757680763916184,Project,ProjectA,False,True
species32,0.0,5.324651829152464,Project,ProjectA,False,True
species33,0.050289343207840245,4.035553431227278,Project,ProjectA,False,True
species34,1.2243416329670456,21.446345266111184,Project,ProjectA,False,True
species35,0.0912860038761646,5.202177041268411,Project,ProjectA,False,True
species36,0.0,2.96261023597132,Project,ProjectA,False,True
species37,0.6965843414895223,16.334953140328718,Project,ProjectA,False,True
species38,1.2706886428285356,21.929873349121017,Project,ProjectA,False,True
species39,1.2226459443025977,23.016223872408005,Project,ProjectA,False,True
species40,0.0,3.8561661103130023,Project,ProjectA,False,True
species41,1.2126833434367716,22.579178775709764,Project,ProjectA,False,True
species42,1.912473844631241,25.723711288807596,Project,ProjectA,False,True
species43,2.006694263176364,32.43968785562679,Project,ProjectA,False,True
species44,0.07526434821745175,8.875035001675439,Project,ProjectA,False,True
species45,0.20483614764411798,15.017661232486352,Project,ProjectA,False,True
species46,0.013953242092433265,7.318120391870859,Project,ProjectA,False,True
species47,0.5991867368600954,22.177506569922354,Project,ProjectA,False,True
species48,0.01142512210106553,7.626648336452926,Project,ProjectA,False,True
species49,0.0,4.14183253715436,Project,ProjectA,False,True
species50,0.103191589513286,12.026071370946003,Project,ProjectA,False,True
species51,1.2280157478328564,22.385207772651036,Project,ProjectA,False,True
species52,1.205289359732721,24.61992150173927,Project,ProjectA,False,True
species53,1.1337369126597958,20.523984514696135,Project,ProjectA,False,True
species54,1.8627829813307293,24.35184203812684,Project,ProjectA,False,True
species55,0.013153809062547414,6.819542303654463,Project,ProjectA,False,True
species56,0.0,7.689448425292736,Project,ProjectA,False,True
species57,2.679978941893142,33.532148375508676,Project,ProjectA,False,True
species58,0.014481589080855978,12.098644040456904,Project,ProjectA,False,True
species59,0.2959263667538357,10.725613399035945,Project,ProjectA,False,True
species60,0.020807372829780155,8.540228513938874,Project,ProjectA,False,True
species61,0.08393426287759262,8.545173151633545,Project,ProjectA,False,True
species62,0.061571154700745936,6.421598363558393,Project,ProjectA,False,True
species63,0.2175972783609852,9.797333425607365,Project,ProjectA,False,True
species64,0.5958853561075261,17.506397718103983,Project,ProjectA,False,True
species65,0.11150160434754271,5.253531580566879,Project,ProjectA,False,True
species66,0.1898845984539031,7.904165463772796,Project,ProjectA,False,True
species67,0.1048314873047167,12.094110116712935,Project,ProjectA,False,True
species68,0.23883074625428513,17.9178527605094,Project,ProjectA,False,True
species69,1.2339962860485392,22.86838775762442,Project,ProjectA,False,True
species70,0.123578074061734,16.00157672742359,Project,ProjectA,False,True
species71,1.3652537539344116,34.413677462117086,Project,ProjectA,False,True
species72,0.0,5.125231908177888,Project,ProjectA,False,True
species73,1.995119134582718,26.594402940930337,Project,ProjectA,False,True
species74,0.0,13.39993041913993,Project,ProjectA,False,True
species75,5.739228952014169,59.168642923910966,Project,ProjectA,False,True
species76,1.295586256341241,16.062981560723106,Project,ProjectA,False,True
species77,0.0,7.675246931558607,Project,ProjectA,False,True
species78,0.17978825565848347,15.452928337776294,Project,ProjectA,False,True
species79,0.6840511019812259,17.01625727791864,Project,ProjectA,False,True
species80,0.28886106725232497,5.866999674599261,Project,ProjectA,False,True
species81,0.46551478828985504,14.94838062293941,Project,ProjectA,False,True
species82,0.17679940339809083,7.1316215039960955,Project,ProjectA,False,True
species83,0.19250016030884293,13.813088905058882,Project,ProjectA,False,True
species84,1.97812707616831,30.350850605654763,Project,ProjectA,False,True
species85,1.1812945916093085,20.844019020551954,Project,ProjectA,False,True
species86,0.10646546323071024,6.9178171539448075,Project,ProjectA,False,True
species87,0.002793844732799233,6.151263532166911,Project,ProjectA,False,True
species88,0.02033840982319799,12.086032534832238,Project,ProjectA,False,True
species89,1.9356940735865131,29.91215141897422,Project,ProjectA,False,True
species90,3.4157857436398666,40.05104326563477,Project,ProjectA,False,True
species91,2.6700700846713246,37.87061571217101,Project,ProjectA,False,True
species92,0.3235917956016688,14.987572296641023,Project,ProjectA,False,True
species93,0.007846283252884423,6.376779763014243,Project,ProjectA,False,True
species94,1.8771520770364414,23.717982128362227,Project,ProjectA,False,True
species95,1.3117361989273397,22.49208447550275,Project,ProjectA,False,True
species96,1.9812130782139192,32.536948520744076,Project,ProjectA,False,True
species97,0.08172810103338382,5.589815428311698,Project,ProjectA,False,True
species98,0.5422674272066189,20.851329793922922,Project,ProjectA,False,True
species99,0.14696092557484314,11.587987126486029,Project,ProjectA,False,True
species100,0.31157769300525234,11.87110361595308,Project,ProjectA,False,True
species101,0.4171785764812019,11.103131858960197,Project,ProjectA,False,True
species102,0.20280675946329568,9.58144536780318,Project,ProjectA,False,True
species103,0.3283432479029318,7.277139956928773,Project,ProjectA,False,True
species104,2.5767280693706343,26.116117856962006,Project,ProjectA,False,True
species105,0.019746969559628808,10.746013529426062,Project,ProjectA,False,True
