,Model,Accuracy,Precision,Recall,F1,ROC_AUC,MCC,Specificity,CV,Repeat,target,target_id,feature,turner
0,lasso,1.0,1.0,1.0,1.0,1.0,1.0,1.0,Fold1,1,Project,ProjectA,False,True
1,lasso,0.6,0.5,1.0,0.6666666666666666,0.33333333333333337,0.4082482904638631,0.3333333333333333,Fold2,1,Project,ProjectA,False,True
2,lasso,0.8,0.6666666666666666,1.0,0.8,0.6666666666666667,0.6666666666666666,0.6666666666666666,Fold3,1,Project,ProjectA,False,True
3,lasso,0.4,0.3333333333333333,0.5,0.4,0.5,-0.16666666666666666,0.3333333333333333,Fold4,1,Project,ProjectA,False,True
4,lasso,0.8,0.6666666666666666,1.0,0.8,0.6666666666666667,0.6666666666666666,0.6666666666666666,Fold5,1,Project,ProjectA,False,True
5,lasso,0.2,0.0,0.0,0.0,0.16666666666666666,-0.6123724356957946,0.5,Fold6,1,Project,ProjectA,False,True
6,lasso,0.8,1.0,0.6666666666666666,0.8,1.0,0.6666666666666666,1.0,Fold7,1,Project,ProjectA,False,True
7,lasso,0.8,1.0,0.6666666666666666,0.8,1.0,0.6666666666666666,1.0,Fold8,1,Project,ProjectA,False,True
8,lasso,0.4,0.5,0.3333333333333333,0.4,0.16666666666666666,-0.16666666666666666,0.5,Fold9,1,Project,ProjectA,False,True
9,lasso,0.8,0.75,1.0,0.8571428571428571,0.8333333333333333,0.6123724356957946,0.5,Fold10,1,Project,ProjectA,False,True
10,lasso,0.8,0.6666666666666666,1.0,0.8,1.0,0.6666666666666666,0.6666666666666666,Fold1,2,Project,ProjectA,False,True
11,lasso,0.4,0.3333333333333333,0.5,0.4,0.6666666666666667,-0.16666666666666666,0.3333333333333333,Fold2,2,Project,ProjectA,False,True
12,lasso,0.6,0.5,0.5,0.5,0.5,0.16666666666666666,0.6666666666666666,Fold3,2,Project,ProjectA,False,True
13,lasso,0.8,0.6666666666666666,1.0,0.8,0.6666666666666667,0.6666666666666666,0.6666666666666666,Fold4,2,Project,ProjectA,False,True
14,lasso,0.6,0.5,0.5,0.5,0.5,0.16666666666666666,0.6666666666666666,Fold5,2,Project,ProjectA,False,True
15,lasso,0.4,0.5,0.6666666666666666,0.5714285714285714,0.0,-0.4082482904638631,0.0,Fold6,2,Project,ProjectA,False,True
16,lasso,0.8,1.0,0.6666666666666666,0.8,0.8333333333333333,0.6666666666666666,1.0,Fold7,2,Project,ProjectA,False,True
17,lasso,0.6,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.5,0.16666666666666666,0.5,Fold8,2,Project,ProjectA,False,True
18,lasso,0.4,0.5,0.3333333333333333,0.4,0.5,-0.16666666666666666,0.5,Fold9,2,Project,ProjectA,False,True
19,lasso,0.8,1.0,0.6666666666666666,0.8,1.0,0.6666666666666666,1.0,Fold10,2,Project,ProjectA,False,True
20,lasso,0.8,0.6666666666666666,1.0,0.8,1.0,0.6666666666666666,0.6666666666666666,Fold1,3,Project,ProjectA,False,True
21,lasso,0.8,0.6666666666666666,1.0,0.8,1.0,0.6666666666666666,0.6666666666666666,Fold2,3,Project,ProjectA,False,True
22,lasso,0.2,0.0,0.0,0.0,0.33333333333333337,-0.6666666666666666,0.3333333333333333,Fold3,3,Project,ProjectA,False,True
23,lasso,0.4,0.0,0.0,0.0,0.33333333333333337,-0.4082482904638631,0.6666666666666666,Fold4,3,Project,ProjectA,False,True
24,lasso,0.8,0.6666666666666666,1.0,0.8,1.0,0.6666666666666666,0.6666666666666666,Fold5,3,Project,ProjectA,False,True
25,lasso,0.4,0.5,0.6666666666666666,0.5714285714285714,0.0,-0.4082482904638631,0.0,Fold6,3,Project,ProjectA,False,True
26,lasso,0.6,1.0,0.3333333333333333,0.5,0.8333333333333333,0.4082482904638631,1.0,Fold7,3,Project,ProjectA,False,True
27,lasso,0.8,1.0,0.6666666666666666,0.8,0.6666666666666666,0.6666666666666666,1.0,Fold8,3,Project,ProjectA,False,True
28,lasso,1.0,1.0,1.0,1.0,1.0,1.0,1.0,Fold9,3,Project,ProjectA,False,True
29,lasso,0.6,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.5,0.16666666666666666,0.5,Fold10,3,Project,ProjectA,False,True
30,lasso,0.6,0.5,1.0,0.6666666666666666,0.5,0.4082482904638631,0.3333333333333333,Fold1,4,Project,ProjectA,False,True
31,lasso,0.8,0.6666666666666666,1.0,0.8,1.0,0.6666666666666666,0.6666666666666666,Fold2,4,Project,ProjectA,False,True
32,lasso,0.8,0.6666666666666666,1.0,0.8,0.6666666666666667,0.6666666666666666,0.6666666666666666,Fold3,4,Project,ProjectA,False,True
33,lasso,0.4,0.0,0.0,0.0,0.16666666666666669,-0.4082482904638631,0.6666666666666666,Fold4,4,Project,ProjectA,False,True
34,lasso,0.8,0.6666666666666666,1.0,0.8,0.8333333333333334,0.6666666666666666,0.6666666666666666,Fold5,4,Project,ProjectA,False,True
35,lasso,0.6,1.0,0.3333333333333333,0.5,0.5,0.4082482904638631,1.0,Fold6,4,Project,ProjectA,False,True
36,lasso,0.6,1.0,0.3333333333333333,0.5,0.6666666666666666,0.4082482904638631,1.0,Fold7,4,Project,ProjectA,False,True
37,lasso,0.8,1.0,0.6666666666666666,0.8,1.0,0.6666666666666666,1.0,Fold8,4,Project,ProjectA,False,True
38,lasso,0.6,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.16666666666666666,0.5,Fold9,4,Project,ProjectA,False,True
39,lasso,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,Fold10,4,Project,ProjectA,False,True
40,lasso,0.8,0.6666666666666666,1.0,0.8,0.8333333333333334,0.6666666666666666,0.6666666666666666,Fold1,5,Project,ProjectA,False,True
41,lasso,1.0,1.0,1.0,1.0,1.0,1.0,1.0,Fold2,5,Project,ProjectA,False,True
42,lasso,0.6,0.5,0.5,0.5,0.5,0.16666666666666666,0.6666666666666666,Fold3,5,Project,ProjectA,False,True
43,lasso,0.6,0.5,1.0,0.6666666666666666,0.5,0.4082482904638631,0.3333333333333333,Fold4,5,Project,ProjectA,False,True
44,lasso,0.4,0.3333333333333333,0.5,0.4,0.5,-0.16666666666666666,0.3333333333333333,Fold5,5,Project,ProjectA,False,True
45,lasso,1.0,1.0,1.0,1.0,1.0,1.0,1.0,Fold6,5,Project,ProjectA,False,True
46,lasso,0.4,0.5,0.3333333333333333,0.4,0.3333333333333333,-0.16666666666666666,0.5,Fold7,5,Project,ProjectA,False,True
47,lasso,0.8,0.75,1.0,0.8571428571428571,0.5,0.6123724356957946,0.5,Fold8,5,Project,ProjectA,False,True
