,lasso,LogisticRegression,target,target_id,feature,turner
species1,0.0,38.0661793762546,OneMajorDisease,,False,True
species2,0.0,10.989935129046165,OneMajorDisease,,False,True
species3,0.0,49.819923695325414,OneMajorDisease,,False,True
species4,0.0,15.465127144422848,OneMajorDisease,,False,True
species5,0.0,34.36948176769598,OneMajorDisease,,False,True
species6,0.0,17.23993933701447,OneMajorDisease,,False,True
species7,0.0,13.467500182658743,OneMajorDisease,,False,True
species8,0.0,44.316488577522556,OneMajorDisease,,False,True
species9,0.0,32.63322269450368,OneMajorDisease,,False,True
species10,0.0,25.516694999002123,OneMajorDisease,,False,True
species11,0.0,54.15609095716163,OneMajorDisease,,False,True
species12,0.0,47.95359594137788,OneMajorDisease,,False,True
species13,0.0,45.330820535898695,OneMajorDisease,,False,True
species14,0.0,23.38148227744284,OneMajorDisease,,False,True
species15,0.0,29.799000866286274,OneMajorDisease,,False,True
species16,0.0,23.71525622861552,OneMajorDisease,,False,True
species17,0.0,21.026633795565697,OneMajorDisease,,False,True
species18,0.0,53.44633829940818,OneMajorDisease,,False,True
species19,0.0,14.14292267606985,OneMajorDisease,,False,True
species20,0.0,16.69505987122131,OneMajorDisease,,False,True
species21,0.0,49.97992311185786,OneMajorDisease,,False,True
species22,0.0,27.23791542959009,OneMajorDisease,,False,True
species23,0.0,23.52923479103496,OneMajorDisease,,False,True
species24,0.0,10.981351191487333,OneMajorDisease,,False,True
species25,0.0,14.504617239976048,OneMajorDisease,,False,True
species26,0.0,8.828027086185443,OneMajorDisease,,False,True
species27,0.0,24.275992340410873,OneMajorDisease,,False,True
species28,0.0,35.10079152913679,OneMajorDisease,,False,True
species29,0.0,13.176818373792267,OneMajorDisease,,False,True
species30,0.0,39.598079458151716,OneMajorDisease,,False,True
species31,0.0,22.093968221150458,OneMajorDisease,,False,True
species32,0.0,16.187506226938893,OneMajorDisease,,False,True
species33,0.0,9.583664816345784,OneMajorDisease,,False,True
species34,0.0,17.80288121959332,OneMajorDisease,,False,True
species35,0.0,12.978986096378218,OneMajorDisease,,False,True
species36,0.0,11.314649969179678,OneMajorDisease,,False,True
species37,0.0,13.562730930035082,OneMajorDisease,,False,True
species38,0.0,22.84455205881793,OneMajorDisease,,False,True
species39,0.0,13.622245387786972,OneMajorDisease,,False,True
species40,0.0,7.987522959569331,OneMajorDisease,,False,True
species41,0.0,8.878718424532961,OneMajorDisease,,False,True
species42,0.0,35.87758318269023,OneMajorDisease,,False,True
species43,0.0,19.99251570181487,OneMajorDisease,,False,True
species44,0.0,15.300943590419525,OneMajorDisease,,False,True
species45,0.0,20.36537253365249,OneMajorDisease,,False,True
species46,0.0,25.014956132847757,OneMajorDisease,,False,True
species47,0.0,18.247371706491016,OneMajorDisease,,False,True
species48,0.0,26.087271562508562,OneMajorDisease,,False,True
species49,0.0,11.46216404019955,OneMajorDisease,,False,True
species50,0.0,11.335675829759309,OneMajorDisease,,False,True
species51,0.0,13.703591343782865,OneMajorDisease,,False,True
species52,0.0,77.41643454223052,OneMajorDisease,,False,True
species53,0.0,22.227776601929552,OneMajorDisease,,False,True
species54,0.0,12.524317350598135,OneMajorDisease,,False,True
species55,0.0,16.684820331195215,OneMajorDisease,,False,True
species56,0.0,48.84876099853584,OneMajorDisease,,False,True
species57,0.0,31.98408311519529,OneMajorDisease,,False,True
species58,0.0,35.26764096769642,OneMajorDisease,,False,True
species59,0.0,20.013499654586706,OneMajorDisease,,False,True
species60,0.0,11.829858315776555,OneMajorDisease,,False,True
species61,0.0,36.01560726616633,OneMajorDisease,,False,True
species62,0.0,52.70941810661678,OneMajorDisease,,False,True
