,lasso,LogisticRegression,target,target_id,feature,turner
species1,0.1245736690279444,0.2908337444673803,Project,ProjectA,False,True
species2,0.07166134815136595,0.21227191349651903,Project,ProjectA,False,True
species3,0.028227020174874155,0.10114890128147128,Project,ProjectA,False,True
species4,0.05299182594663211,0.19014129993223533,Project,ProjectA,False,True
species5,0.7406736786608816,0.8488769581884767,Project,ProjectA,False,True
species6,0.04999637642398493,0.16885839548490558,Project,ProjectA,False,True
species7,0.09327699563377403,0.23754686872308062,Project,ProjectA,False,True
species8,0.5932115253131315,0.6847282517400493,Project,ProjectA,False,True
species9,0.025707507652231038,0.16725529581951445,Project,ProjectA,False,True
species10,0.1919351362845279,0.3549861959138235,Project,ProjectA,False,True
species11,0.2497116872076778,0.3951419750509325,Project,ProjectA,False,True
species12,0.018508584177921006,0.11882645135329035,Project,ProjectA,False,True
species13,0.005902686881029585,0.09628636197260164,Project,ProjectA,False,True
species14,0.15786886634748148,0.302229416957454,Project,ProjectA,False,True
species15,0.1019903755375428,0.2844304340577854,Project,ProjectA,False,True
species16,0.10485473577995501,0.2774195135707848,Project,ProjectA,False,True
species17,0.5355553194694838,0.6806730163823468,Project,ProjectA,False,True
species18,0.05209002289486756,0.17800320707892875,Project,ProjectA,False,True
species19,0.011356768662801353,0.09362996405056162,Project,ProjectA,False,True
species20,0.5692733388589715,0.6696598121140158,Project,ProjectA,False,True
species21,0.42784046335693693,0.5473157500486386,Project,ProjectA,False,True
species22,0.2736872386027699,0.44167972795565846,Project,ProjectA,False,True
species23,0.03555268048159602,0.1441505820100364,Project,ProjectA,False,True
species24,0.02662557876786078,0.1528329166275585,Project,ProjectA,False,True
species25,0.187090660942519,0.3276134280248728,Project,ProjectA,False,True
species26,0.08384027150277633,0.23202806341440524,Project,ProjectA,False,True
species27,0.3603027474052839,0.5166142264504244,Project,ProjectA,False,True
species28,0.059709015455214676,0.19581687172613244,Project,ProjectA,False,True
species29,0.00035340691207792524,0.11274386014658724,Project,ProjectA,False,True
species30,0.034696202180632255,0.19912872462411185,Project,ProjectA,False,True
species31,0.067542335089228,0.2288450813135025,Project,ProjectA,False,True
species32,0.003611896897485279,0.13667495033015759,Project,ProjectA,False,True
species33,0.005130642714418406,0.08567511917553068,Project,ProjectA,False,True
species34,0.15499298305761594,0.29036646228432056,Project,ProjectA,False,True
